"rd92","rd95","rd96","rd97","rd99","rd05"
841,841,841,841,841,"841"
842,842,842,842,842,"842"
847,847,847,847,847,"847"
848,848,848,848,848,"848"
849,849,849,849,849,"849"
851,851,851,851,851,"851"
852,852,852,852,852,"852"
853,853,853,853,853,"853"
854,854,854,854,854,"854"
857,857,857,857,857,"857"
858,858,858,858,858,"858"
859,859,859,859,859,"859"
881,881,881,881,881,"881"
882,882,882,882,882,"882"
883,883,883,883,883,"883"
884,884,884,884,884,"884"
885,885,885,885,885,"885"
886,886,886,886,886,"886"
887,887,887,887,887,"887"
889,889,889,889,889,"889"
891,891,891,891,891,"891"
892,892,892,892,892,"892"
893,893,893,893,893,"893"
895,895,895,895,895,NA
896,896,896,896,896,NA
897,897,897,897,897,"897"
898,898,898,898,898,"898"
899,899,899,899,899,"899"
1019,911,911,911,911,"911"
1029,921,921,921,921,"921"
921,922,922,922,922,"922"
923,923,923,923,923,"923"
924,924,924,924,924,"924"
925,925,925,925,925,"925"
926,926,926,926,926,"926"
927,927,927,927,927,"927"
1039,931,931,931,931,"931"
932,932,932,932,932,"932"
934,934,934,934,934,"934"
935,935,935,935,935,"935"
936,936,936,936,936,"936"
937,937,937,937,937,"937"
938,938,938,938,938,"938"
941,941,941,941,941,"941"
942,942,942,942,942,"942"
944,944,944,944,944,"944"
945,945,945,945,945,"945"
946,946,946,946,946,"946"
948,948,948,948,948,"948"
1049,951,951,951,951,"951"
952,952,952,952,952,"952"
955,955,955,955,955,"955"
956,956,956,956,956,"956"
957,957,957,957,957,"957"
958,958,958,958,958,"958"
961,961,961,961,961,"961"
962,962,962,962,962,"962"
963,963,963,963,963,"963"
964,964,964,964,964,"964"
965,965,965,965,965,"965"
966,966,966,966,966,"966"
968,968,968,968,968,"968"
969,969,969,969,969,"969"
972,972,972,972,972,"972"
973,973,973,973,973,"973"
974,974,974,974,974,"974"
975,975,975,975,975,"975"
976,976,976,976,976,"976"
979,977,977,977,977,"977"
1561,978,978,978,978,"978"
1541,979,979,979,979,"979"
983,983,983,983,983,"983"
984,984,984,984,984,"984"
986,986,986,986,986,"986"
988,988,988,988,988,"988"
989,989,989,989,989,"989"
995,995,995,995,995,"995"
999,998,998,998,998,"998"
1591,999,999,999,999,"999"
1761,1001,1001,1001,1001,"1771"
1781,1002,1002,1002,1002,NA
1003,1003,1003,1003,1003,"1003"
1004,1004,1004,1004,1004,"1004"
1005,1005,1005,1005,1005,"1005"
1006,1006,1006,1006,1006,"1006"
1007,1007,1007,1007,1007,"1007"
1008,1008,1008,1008,1008,"1008"
1001,1011,1011,1011,1011,"1011"
1002,1012,1012,1012,1012,"1012"
1013,1013,1013,1013,1013,NA
1014,1014,1014,1014,1014,"1014"
1015,1015,1015,1015,1015,"1015"
1016,1016,1016,1016,1016,"1016"
1017,1017,1017,1017,1017,"1017"
1011,1021,1021,1021,1021,"1021"
1012,1022,1022,1022,1022,NA
1024,1024,1024,1024,1024,"1024"
1025,1025,1025,1025,1025,"1025"
1026,1026,1026,1026,1026,"1026"
1027,1027,1027,1027,1027,"1027"
1028,1028,1028,1028,1028,"1028"
1032,1032,1032,1032,1032,"1032"
1033,1033,1033,1033,1033,"1033"
1034,1034,1034,1034,1034,"1034"
1035,1035,1035,1035,1035,"1035"
1036,1036,1036,1036,1036,"1036"
1037,1037,1037,1037,1037,"1037"
1038,1038,1038,1038,1038,"1038"
1042,1042,1042,1042,1042,"1042"
1043,1043,1043,1043,1043,"1043"
1044,1044,1044,1044,1044,"1044"
1045,1045,1045,1045,1045,"1045"
1046,1046,1046,1046,1046,"1046"
1047,1047,1047,1047,1047,"1047"
1066,1048,1048,1048,1048,NA
1048,1049,1049,1049,1049,"1049"
1051,1051,1051,1051,1051,"1051"
1052,1052,1052,1052,1052,"1052"
1053,1053,1053,1053,1053,"1053"
1054,1054,1054,1054,1054,"1054"
1055,1055,1055,1055,1055,NA
1056,1056,1056,1056,1056,NA
1062,1057,1057,1057,1057,"1057"
1063,1058,1058,1058,1058,"1058"
1069,971,971,1059,1059,"1059"
1071,1061,1061,1061,1061,"1061"
1072,1062,1062,1062,1062,"1062"
1074,1063,1063,1063,1063,"1063"
1075,1064,1064,1064,1064,"1064"
1064,1065,1065,1065,1065,"1065"
1065,1066,1066,1066,1066,NA
1067,1067,1067,1067,1067,NA
1068,1068,1068,1068,1068,"1068"
1078,1069,1069,1069,1069,"1069"
1081,1071,1071,1071,1071,"1071"
1073,1072,1072,1072,1072,"1072"
1082,1073,1073,1073,1073,"1073"
1083,1075,1075,1075,1075,"1075"
1076,1076,1076,1076,1076,NA
1077,1077,1077,1077,1077,"1077"
1079,1078,1078,1078,1078,"1078"
971,1079,1079,1079,1079,"1079"
1091,1081,1081,1081,1081,"1081"
1092,1082,1082,1082,1082,"1082"
1084,1083,1083,1083,1083,"1083"
1085,1084,1084,1084,1084,"1084"
1086,1085,1085,1085,1085,"1085"
1087,1086,1086,1086,1086,NA
1088,1087,1087,1087,1087,"1087"
1089,1088,1088,1088,1088,"1088"
981,1089,1089,1089,1089,"1089"
1093,1091,1091,1091,1091,NA
1094,1092,1092,1092,1092,"1092"
1095,1093,1093,1093,1093,NA
1096,1094,1094,1094,1094,"1094"
1097,1095,1095,1095,1095,"1095"
1098,1096,1096,1096,1096,"1096"
1099,1097,1097,1097,1097,"1097"
993,1098,1098,1098,1098,"1098"
991,1099,1099,1099,1099,"1099"
1101,1101,1101,1101,1101,"1101"
1102,1102,1102,1102,1102,"1102"
1105,1105,1105,1105,1105,"1105"
1109,1109,1109,1109,1109,"1109"
1112,1112,1112,1112,1112,"1112"
1113,1113,1113,1113,1113,"1113"
1115,1115,1115,1115,1115,"1115"
1117,1117,1117,1117,1117,"1117"
1119,1119,1119,1119,1119,"1119"
1122,1122,1122,1122,1122,"1122"
1123,1123,1123,1123,1123,"1123"
1124,1124,1124,1124,1124,NA
1125,1125,1125,1125,1125,"1125"
1126,1126,1126,1126,1126,"1126"
1127,1127,1127,1127,1127,"1127"
1128,1128,1128,1128,1128,"1128"
1129,1129,1129,1129,1129,"1129"
1132,1132,1132,1132,1132,"1132"
1133,1133,1133,1133,1133,"1133"
1134,1134,1134,1134,1134,NA
1135,1135,1135,1135,1135,"1135"
1136,1136,1136,1136,1136,"1136"
1137,1137,1137,1137,1137,"1137"
1138,1138,1138,1138,1138,"1138"
1139,1139,1139,1139,1139,"1139"
1141,1141,1141,1141,1141,"1141"
1142,1142,1142,1142,1142,"1142"
1143,1143,1143,1143,1143,"1143"
1144,1144,1144,1144,1144,"1144"
1145,1145,1145,1145,1145,"1145"
1146,1146,1146,1146,1146,"1146"
1147,1147,1147,1147,1147,"1147"
1148,1148,1148,1148,1148,"1148"
1149,1149,1149,1149,1149,"1149"
1151,1151,1151,1151,1151,"1151"
1152,1152,1152,1152,1152,"1152"
1157,1157,1157,1157,1157,"1157"
1158,1158,1158,1158,1158,"1158"
1159,1159,1159,1159,1159,"1159"
1161,1161,1161,1161,1161,"1161"
1162,1162,1162,1162,1162,"1162"
1171,1171,1171,1171,1171,"1171"
1172,1172,1172,1172,1172,"1172"
1173,1173,1173,1173,1173,"1173"
1174,1174,1174,1174,1174,"1174"
1175,1175,1175,1175,1175,"1175"
1176,1176,1176,1176,1176,"1176"
1177,1177,1177,1177,1177,"1177"
1179,1179,1179,1179,1179,"1179"
1181,1181,1181,1181,1181,"1181"
1184,1184,1184,1184,1184,"1184"
1185,1185,1185,1185,1185,"1185"
1186,1186,1186,1186,1186,"1186"
1189,1189,1189,1189,1189,"1189"
1195,1195,1195,1195,1195,"1195"
1199,1199,1199,1199,1199,"1199"
1203,1203,1203,1203,1203,"1203"
1204,1204,1204,1204,1204,"1204"
1205,1205,1205,1205,1205,"1205"
1208,1208,1208,1208,1208,"1208"
1209,1209,1209,1209,1209,"1209"
1211,1211,1211,1211,1211,"1211"
1213,1213,1213,1213,1213,"1213"
1215,1215,1215,1215,1215,"1215"
1218,1218,1218,1218,1218,"1218"
1219,1219,1219,1219,1219,"1219"
1231,1231,1231,1231,1231,"1231"
1232,1232,1232,1232,1232,"1232"
1233,1233,1233,1233,1233,"1233"
1235,1235,1235,1235,1235,"1235"
1239,1239,1239,1239,1239,"1239"
1241,1241,1241,1241,1241,"1241"
1242,1242,1242,1242,1242,"1242"
1243,1243,1243,1243,1243,"1243"
1245,1245,1245,1245,1245,"1245"
1248,1248,1248,1248,1248,"1248"
1249,1249,1249,1249,1249,"1249"
1251,1251,1251,1251,1251,"1251"
1252,1252,1252,1252,1252,"1252"
1253,1253,1253,1253,1253,"1253"
1255,1255,1255,1255,1255,"1255"
1256,1256,1256,1256,1256,"1256"
1258,1258,1258,1258,1258,"1258"
1259,1259,1259,1259,1259,"1259"
1263,1263,1263,1263,1263,"1263"
1265,1265,1265,1265,1265,"1265"
1266,1266,1266,1266,1266,"1266"
1268,1268,1268,1268,1268,"1268"
1269,1269,1269,1269,1269,"1269"
1273,1273,1273,1273,1273,"1273"
1283,1283,1283,1283,1283,"1283"
1293,1293,1293,1293,1293,"1293"
1303,1303,1303,1303,1303,"1303"
1307,1307,1307,1307,1307,"1307"
1309,1309,1309,1309,1309,"1309"
1311,1311,1311,1311,1311,"1311"
1313,1313,1313,1313,1313,"1313"
1317,1317,1317,1317,1317,"1317"
1321,1321,1321,1321,1321,"1321"
1323,1323,1323,1323,1323,"1323"
1325,1325,1325,1325,1325,"1325"
1327,1327,1327,1327,1327,"1327"
1331,1331,1331,1331,1331,"1331"
1333,1333,1333,1333,1333,"1333"
1341,1341,1341,1341,1341,"1341"
1342,1342,1342,1342,1342,"1342"
1343,1343,1343,1343,1343,"1343"
1345,1345,1345,1345,1345,"1345"
1347,1347,1347,1347,1347,"1347"
1351,1351,1351,1351,1351,"1351"
1352,1352,1352,1352,1352,"1352"
1353,1353,1353,1353,1353,"1353"
1361,1361,1361,1361,1361,"1361"
1362,1362,1362,1362,1362,"1362"
1363,1363,1363,1363,1363,"1363"
1365,1365,1365,1365,1365,"1365"
1367,1367,1367,1367,1367,"1367"
1371,1371,1371,1371,1371,"1371"
1373,1373,1373,1373,1373,"1373"
1375,1375,1375,1375,1375,"1375"
1377,1377,1377,1377,1377,"1377"
1381,1381,1381,1381,1381,"1381"
1383,1383,1383,1383,1383,"1383"
1385,1385,1385,1385,1385,"1385"
1391,1391,1391,1391,1391,"1391"
1393,1393,1393,1393,1393,"1393"
1395,1395,1395,1395,1395,"1395"
1401,1401,1401,1401,1401,"1401"
1402,1402,1402,1402,1402,"1402"
1403,1403,1403,1403,1403,"1403"
1405,1405,1405,1405,1405,"1405"
1406,1406,1406,1406,1406,"1406"
1407,1407,1407,1407,1407,"1407"
1408,1408,1408,1408,1408,"1408"
1409,1409,1409,1409,1409,"1409"
1411,1411,1411,1411,1411,NA
1412,1412,1412,1412,1412,"1412"
1413,1413,1413,1413,1413,"1413"
1414,1414,1414,1414,1414,"1414"
1415,1415,1415,1415,1415,"1415"
1416,1416,1416,1416,1416,"1416"
1424,1424,1424,1424,1424,"1424"
1425,1425,1425,1425,1425,"1425"
1426,1426,1426,1426,1426,"1426"
1427,1427,1427,1427,1427,"1427"
1428,1428,1428,1428,1428,"1428"
1431,1431,1431,1431,1431,NA
1432,1432,1432,1432,1432,"1432"
1433,1433,1433,1433,1433,"1433"
1434,1434,1434,1434,1434,"1434"
1435,1435,1435,1435,1435,"1435"
1436,1436,1436,1436,1436,"1436"
1437,1437,1437,1437,1437,NA
1438,1438,1438,1438,1438,NA
1441,1441,1441,1441,1441,NA
1443,1443,1443,1443,1443,"1443"
1444,1444,1444,1444,1444,"1444"
1445,1445,1445,1445,1445,"1445"
1446,1446,1446,1446,1446,"1446"
1449,1449,1449,1449,1449,"1449"
1451,1451,1451,1451,1451,"1451"
1452,1452,1452,1452,1452,"1452"
1453,1453,1453,1453,1453,"1453"
1454,1454,1454,1454,1454,NA
1455,1455,1455,1455,1455,NA
1456,1456,1456,1456,1456,"1456"
1457,1457,1457,1457,1457,"1457"
1458,1458,1458,1458,1458,"1458"
1459,1459,1459,1459,1459,"1459"
1462,1462,1462,1462,1462,NA
1463,1463,1463,1463,1463,NA
1464,1464,1464,1464,1464,"1464"
1465,1465,1465,1465,1465,"1465"
1466,1466,1466,1466,1466,"1466"
1467,1467,1467,1467,1467,"1467"
1469,1469,1469,1469,1469,"1469"
1471,1471,1471,1471,1471,"1471"
1472,1472,1472,1472,1472,NA
1473,1473,1473,1473,1473,"1473"
1474,1474,1474,1474,1474,"1474"
1475,1475,1475,1475,1475,"1475"
1476,1476,1476,1476,1476,"1476"
1477,1477,1477,1477,1477,"1477"
1479,1479,1479,1479,1479,"1479"
1483,1483,1483,1483,1483,"1483"
1484,1484,1484,1484,1484,NA
1485,1485,1485,1485,1485,NA
1486,1486,1486,1486,1486,NA
1487,1487,1487,1487,1487,NA
1488,1488,1488,1488,1488,"1488"
1489,1489,1489,1489,1489,NA
1491,1491,1491,1491,1491,"1491"
1492,1492,1492,1492,1492,NA
1493,1493,1493,1493,1493,NA
1494,1494,1494,1494,1494,"1494"
1495,1495,1495,1495,1495,NA
1496,1496,1496,1496,1496,NA
1497,1497,1497,1497,1497,NA
1498,1498,1498,1498,1498,NA
1499,1499,1499,1499,1499,NA
1501,1501,1501,1501,1501,"1501"
1502,1502,1502,1502,1502,"1502"
1503,1503,1503,1503,1503,"1503"
1504,1504,1504,1504,1504,"1504"
1505,1505,1505,1505,1505,"1505"
1506,1506,1506,1506,1506,"1506"
1507,1507,1507,1507,1507,"1507"
1508,1508,1508,1508,1508,"1508"
1509,1509,1509,1509,1509,"1509"
928,1511,1511,1511,1511,"1511"
929,1512,1512,1512,1512,"1512"
1512,1513,1513,1513,1513,"1513"
1514,1514,1514,1514,1514,"1514"
1515,1515,1515,1515,1515,"1515"
1513,1516,1516,1516,1516,"1516"
1518,1518,1518,1518,1518,"1518"
1519,1519,1519,1519,1519,"1519"
939,1521,1521,1521,1521,"1521"
949,1522,1522,1522,1522,"1522"
1511,1523,1523,1523,1523,"1523"
1522,1524,1524,1524,1524,"1524"
1526,1526,1526,1526,1526,"1526"
1527,1527,1527,1527,1527,"1527"
1528,1528,1528,1528,1528,"1528"
1529,1529,1529,1529,1529,"1529"
1531,1531,1531,1531,1531,"1531"
1532,1532,1532,1532,1532,"1532"
1533,1533,1533,1533,1533,"1533"
1521,1534,1534,1534,1534,"1534"
1537,1537,1537,1537,1537,"1537"
1538,1538,1538,1538,1538,"1538"
1539,1539,1539,1539,1539,"1539"
1542,1542,1542,1542,1542,"1542"
1543,1543,1543,1543,1543,"1543"
1544,1544,1544,1544,1544,"1544"
1545,1545,1545,1545,1545,"1545"
1546,1546,1546,1546,1546,"1546"
1547,1547,1547,1547,1547,"1547"
1549,1549,1549,1549,1549,"1549"
1553,1553,1553,1553,1553,"1553"
1555,1555,1555,1555,1555,"1555"
1557,1557,1557,1557,1557,"1557"
1558,1558,1558,1558,1558,"1558"
1559,1559,1559,1559,1559,"1559"
1562,1562,1562,1562,1562,"1562"
1565,1565,1565,1565,1565,"1565"
1566,1566,1566,1566,1566,"1566"
1567,1567,1567,1567,1567,"1567"
1568,1568,1568,1568,1568,"1568"
1569,1569,1569,1569,1569,"1569"
1581,1581,1581,1581,1581,"1581"
1585,1585,1585,1585,1585,"1585"
1586,1586,1586,1586,1586,"1586"
1588,1588,1588,1588,1588,"1588"
1589,1589,1589,1589,1589,"1589"
1592,1592,1592,1592,1592,"1592"
1595,1595,1595,1595,1595,"1595"
1596,1596,1596,1596,1596,"1596"
1599,1599,1599,1599,1599,"1599"
1601,1601,1601,1601,1601,"1901"
1602,1602,1602,1602,1602,NA
1603,1603,1603,1603,1603,"1903"
1604,1604,1604,1604,1604,"1904"
1605,1605,1605,1605,1605,"1905"
1606,1606,1606,1606,1606,"1906"
1607,1607,1607,1607,1607,"1907"
1608,1608,1608,1608,1608,NA
1609,1609,1609,1609,1609,NA
1611,1611,1611,1611,1611,"1911"
1612,1612,1612,1612,1612,"1912"
1613,1613,1613,1613,1613,"1913"
1614,1614,1614,1614,1614,"1914"
1615,1615,1615,1615,1615,"1924"
1616,1616,1616,1616,1616,"1916"
1617,1617,1617,1617,1617,"1917"
1618,1618,1618,1618,1618,NA
1621,1621,1621,1621,1621,"1923"
1622,1622,1622,1622,1622,"1934"
1623,1623,1623,1623,1623,"1935"
1624,1624,1624,1624,1624,"1936"
1625,1625,1625,1625,1625,"1944"
1626,1626,1626,1626,1626,"1626"
1627,1627,1627,1627,1627,"1627"
1629,1629,1629,1629,1629,"1929"
1631,1631,1631,1631,1631,"1942"
1632,1632,1632,1632,1632,"1943;1953"
1633,1633,1633,1633,1633,NA
1634,1634,1634,1634,1634,NA
1635,1635,1635,1635,1635,"1635"
1637,1637,1637,1637,1637,NA
